"Category","Description","Data.Carbohydrate","Data.Fiber","Data.Kilocalories","Data.Protein","Data.Sugar Total","Data.Water","Data.Fat.Saturated Fat","Data.Fat.Total Lipid"
"BUTTER","BUTTER,WITH SALT",0.06,0,717,0.85,0.059999999,15.87,51.368,81.11
"BUTTER","BUTTER,WHIPPED,WITH SALT",0.06,0,717,0.85,0.059999999,15.87,50.489,81.11
"BUTTER OIL","BUTTER OIL,ANHYDROUS",0,0,876,0.28,0,0.24,61.924,99.48
"CHEESE","CHEESE,BLUE",2.34,0,353,21.4,0.5,42.41,18.669,28.74
"CHEESE","CHEESE,BRICK",2.79,0,371,23.24,0.50999999,41.11,18.764,29.68
"CHEESE","CHEESE,BRIE",0.45,0,334,20.75,0.449999988,48.42,17.41,27.68
"CHEESE","CHEESE,CAMEMBERT",0.46,0,300,19.8,0.460000008,51.8,15.259,24.26
"CHEESE","CHEESE,CARAWAY",3.06,0,376,25.18,0,39.28,18.584,29.2
"CHEESE","CHEESE,CHEDDAR",1.28,0,403,24.9,0.519999981,36.75,21.092,33.14
"CHEESE","CHEESE,CHESHIRE",4.78,0,387,23.37,0,37.65,19.475,30.6
"CHEESE","CHEESE,COLBY",2.57,0,394,23.76,0.519999981,38.2,20.218,32.11
"CHEESE","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",3.38,0,98,11.12,2.670000076,79.79,1.718,4.3
"CHEESE","CHEESE,COTTAGE,CRMD,W/FRUIT",4.61,0.200000003,97,10.69,2.380000114,79.64,2.311,3.85
"CHEESE","CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",6.66,0,72,10.34,1.850000024,81.01,0.169,0.29
"CHEESE","CHEESE,COTTAGE,LOWFAT,2% MILKFAT",3.66,0,86,11.83,3.670000076,80.69,0.979,2.45
"CHEESE","CHEESE,COTTAGE,LOWFAT,1% MILKFAT",2.72,0,72,12.39,2.720000029,82.48,0.645,1.02
"CHEESE","CHEESE,CREAM",4.07,0,342,5.93,3.210000038,54.44,19.292,34.24
"CHEESE","CHEESE,EDAM",1.43,0,357,24.99,1.429999948,41.56,17.572,27.8
"CHEESE","CHEESE,FETA",4.09,0,264,14.21,4.090000153,55.22,14.946,21.28
"CHEESE","CHEESE,FONTINA",1.55,0,389,25.6,1.549999952,37.92,19.196,31.14
"CHEESE","CHEESE,GJETOST",42.65,0,466,9.65,0,13.44,19.16,29.51
"CHEESE","CHEESE,GOUDA",2.22,0,356,24.94,2.220000029,41.46,17.614,27.44
"CHEESE","CHEESE,GRUYERE",0.36,0,413,29.81,0.360000014,33.19,18.913,32.34
"CHEESE","CHEESE,LIMBURGER",0.49,0,327,20.05,0.49000001,48.42,16.746,27.25
"CHEESE","CHEESE,MONTEREY",0.68,0,373,24.48,0.5,41.01,19.066,30.28
"CHEESE","CHEESE,MOZZARELLA,WHL MILK",2.19,0,300,22.17,1.029999971,50.01,13.152,22.35
"CHEESE","CHEESE,MOZZARELLA,WHL MILK,LO MOIST",2.47,0,318,21.6,1.00999999,48.38,15.561,24.64
"CHEESE","CHEESE,MOZZARELLA,PART SKIM MILK",2.77,0,254,24.26,1.129999995,53.78,10.114,15.92
"CHEESE","CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",3.83,0,302,25.96,0.600000024,46.46,12.67,20.03
"CHEESE","CHEESE,MUENSTER",1.12,0,368,23.41,1.120000005,41.77,19.113,30.04
"CHEESE","CHEESE,NEUFCHATEL",3.59,0,253,9.15,3.190000057,63.11,12.79,22.78
"CHEESE","CHEESE,PARMESAN,GRATED",4.06,0,431,38.46,0.899999976,20.84,17.301,28.61
"CHEESE","CHEESE,PARMESAN,HARD",3.22,0,392,35.75,0.800000012,29.16,16.41,25.83
"CHEESE","CHEESE,PORT DE SALUT",0.57,0,352,23.78,0.569999993,45.45,16.691,28.2
"CHEESE","CHEESE,PROVOLONE",2.14,0,351,25.58,0.560000002,40.95,17.078,26.62
"CHEESE","CHEESE,RICOTTA,WHOLE MILK",3.04,0,174,11.26,0.270000011,71.7,8.295,12.98
"CHEESE","CHEESE,RICOTTA,PART SKIM MILK",5.14,0,138,11.39,0.310000002,74.41,4.927,7.91
"CHEESE","CHEESE,ROMANO",3.63,0,387,31.8,0.730000019,30.91,17.115,26.94
"CHEESE","CHEESE,ROQUEFORT",2,0,369,21.54,0,39.38,19.263,30.64
"CHEESE","CHEESE,SWISS",5.38,0,380,26.93,1.320000052,37.12,17.779,27.8
"CHEESE","CHEESE,TILSIT",1.88,0,340,24.41,0,42.86,16.775,25.98
"CHEESE","CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",1.6,0,375,22.15,0.50999999,39.16,19.694,31.25
"CHEESE","CHEESE,PAST PROCESS,PIMENTO",1.73,0.100000001,375,22.13,0.629999995,39.08,19.663,31.2
"CHEESE","CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",2.1,0,334,24.73,1.230000019,42.31,16.045,25.01
"CHEESE FD","CHEESE FD,COLD PK,AMERICAN",8.32,0,331,19.66,0,43.12,15.355,24.46
"CHEESE FD","CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",7.83,0,330,18.4,7.429999828,43.21,14.895,25.18
"CHEESE FD","CHEESE FD,PAST PROCESS,SWISS",4.5,0,323,21.92,0,43.67,15.487,24.14
"CHEESE SPRD","CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",8.73,0,290,16.41,7.320000172,47.65,13.327,21.23
"CREAM","CREAM,FLUID,HALF AND HALF",4.3,0,130,2.96,0.159999996,80.57,7.158,11.5
"CREAM","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",3.66,0,195,2.7,0.140000001,73.75,12.02,19.31
"CREAM","CREAM,FLUID,LT WHIPPING",2.96,0,292,2.17,0.109999999,63.5,19.337,30.91
"CREAM","CREAM,FLUID,HVY WHIPPING",2.79,0,345,2.05,0.109999999,57.71,23.032,37
"CREAM","CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",12.49,0,257,3.2,8,61.33,13.831,22.22
"CREAM","CREAM,SOUR,RED FAT,CULTURED",4.26,0,135,2.94,0.159999996,80.14,7.47,12
"CREAM","CREAM,SOUR,CULTURED",2.88,0,193,2.07,3.5,74.46,11.507,19.73
"No Category","EGGNOG",13.54,0,135,3.81,8.409999847,74.37,4.443,7.48
